Time,Open,High,Low,Latest,Change,%Change,Volume
"2025-12-30 10:00",25979.5,25998.5,25950.75,25950.75,-19.25,-0.07%,16
"2025-12-30 09:00",25976.75,25976.75,25910,25970,-10.25,-0.04%,28
"2025-12-30 08:00",25930,25992.25,25896.25,25980.25,55.25,+0.21%,31
"2025-12-30 07:00",25933.75,25933.75,25925,25925,-12.,-0.05%,2
"2025-12-30 06:00",25950,25950,25936.75,25937,-8.5,-0.03%,5
"2025-12-30 00:00",25945.5,25945.5,25945.5,25945.5,-12.,-0.05%,1
"2025-12-29 23:00",25952.75,25957.5,25952.75,25957.5,17.75,+0.07%,2
"2025-12-29 21:00",25939.75,25939.75,25939.75,25939.75,2.5,+0.01%,1
"2025-12-29 20:00",25948.75,25948.75,25937.25,25937.25,2.25,+0.01%,2
"2025-12-29 17:00",25959.5,25959.5,25935,25935,-36.25,-0.14%,4
"2025-12-29 15:00",25959,25971.25,25958.25,25971.25,16.25,+0.06%,4
"2025-12-29 14:00",25978,25978,25953,25955,-37.25,-0.14%,11
"2025-12-29 13:00",25916,25992.25,25912.25,25992.25,67,+0.26%,13
"2025-12-29 12:00",25907,25928.25,25907,25925.25,10.25,+0.04%,6
"2025-12-29 11:00",25887.25,25915,25872.25,25915,-7.75,-0.03%,36
"2025-12-29 10:00",25915.75,25927.5,25915.25,25922.75,-2.25,-0.01%,33
"2025-12-29 09:00",25931.75,25932,25896,25925,-30.,-0.12%,18
"2025-12-29 08:00",25914.25,26027.5,25886.5,25955,45.5,+0.18%,55
"2025-12-29 07:00",25957.25,25960.25,25909.5,25909.5,-82.,-0.32%,19
"2025-12-29 06:00",25991.5,25991.5,25991.5,25991.5,3.5,+0.01%,1
"2025-12-29 05:00",25971.75,25988,25971.75,25988,-1.,0.00%,2
"2025-12-29 04:00",25989,25989,25989,25989,12.5,+0.05%,1
"2025-12-29 03:00",25975.75,25987.5,25959,25976.5,-0.5,0.00%,17
"2025-12-29 02:00",26010.75,26010.75,25977,25977,-56.5,-0.22%,8
"2025-12-29 01:00",26033.25,26033.5,26033.25,26033.5,-6.5,-0.02%,4
"2025-12-29 00:00",26054,26054,26040,26040,-5.5,-0.02%,5
"2025-12-28 23:00",26049,26049,26045.5,26045.5,-3.5,-0.01%,2
"2025-12-28 20:00",26049,26049,26049,26049,-18.75,-0.07%,1
"2025-12-28 19:00",26117.5,26117.5,26067.75,26067.75,-50.5,-0.19%,12
"2025-12-28 18:00",26091,26118.25,26086,26118.25,16.5,+0.06%,17
"2025-12-28 17:00",26103,26103,26091.75,26101.75,13.5,+0.05%,6
"2025-12-26 15:00",26093.75,26098,26088.25,26088.25,10,+0.04%,8
"2025-12-26 14:00",26094.75,26094.75,26078.25,26078.25,-38.25,-0.15%,22
"2025-12-26 13:00",26119.5,26119.5,26098.5,26116.5,-0.5,0.00%,13
"2025-12-26 12:00",26096.75,26117,26083.25,26117,22,+0.08%,25
"2025-12-26 11:00",26086.5,26095,26079,26095,-19.25,-0.07%,10
"2025-12-26 10:00",26128.5,26131,26085,26114.25,-12.75,-0.05%,30
"2025-12-26 09:00",26097,26127,26068.25,26127,21.75,+0.08%,43
"2025-12-26 08:00",26122,26145,26089,26105.25,-16.75,-0.06%,51
"2025-12-26 07:00",26135.5,26145.25,26118,26122,13,+0.05%,9
"2025-12-26 04:00",26113.5,26115.25,26109,26109,29.25,+0.11%,5
"2025-12-26 01:00",26079.75,26079.75,26079.75,26079.75,-27.25,-0.10%,1
"2025-12-25 23:00",26107,26107,26107,26107,-1.5,-0.01%,1
"2025-12-25 22:00",26108.5,26108.5,26108.5,26108.5,-5.5,-0.02%,1
"2025-12-25 20:00",26113.75,26114,26113.75,26114,-11.,-0.04%,2
"2025-12-25 19:00",26128.25,26140,26125,26125,-7.,-0.03%,7
