Time,Open,High,Low,Latest,Change,%Change,Volume
"2023-10-09 08:00",255.31,256.62,252.05,253.7351,-6.7949,-2.61%,39299776
"2023-10-06 12:00",257.6844,261.65,256.88,260.53,2.859,+1.11%,41661406
"2023-10-06 08:00",253.98,257.83,250.65,257.671,-2.309,-0.89%,52778569
"2023-10-05 12:00",258.79,262.39,257.9501,259.98,1.18,+0.46%,44297283
"2023-10-05 08:00",260,263.6,256.25,258.8,-2.495,-0.95%,53772316
"2023-10-04 12:00",257.45,261.86,256.2,261.295,3.825,+1.49%,48673876
"2023-10-04 08:00",248.14,257.52,247.6,257.47,10.94,+4.44%,57420108
"2023-10-03 12:00",248.0599,249.74,245.19,246.53,-1.4701,-0.59%,37604893
"2023-10-03 08:00",248.61,250.02,244.45,248.0001,-3.5999,-1.43%,46857736
"2023-10-02 12:00",251.4436,253.25,247.88,251.6,0.1629,+0.06%,45971682
"2023-10-02 08:00",244.81,254.2799,242.62,251.4371,1.2171,+0.49%,53924044
"2023-09-29 12:00",252,252.63,246.35,250.22,-1.78,-0.71%,51562042
"2023-09-29 08:00",250,254.77,248.6,252,5.62,+2.28%,55197895
"2023-09-28 12:00",247.375,247.55,244.2201,246.38,-0.9801,-0.40%,47882317
"2023-09-28 08:00",240.02,247.3899,238.65,247.3601,6.8601,+2.85%,50064680
"2023-09-27 12:00",241.43,242.2999,234.58,240.5,-0.94,-0.39%,67070168
"2023-09-27 08:00",244.262,245.33,240.7301,241.44,-2.685,-1.10%,47307475
"2023-09-26 12:00",246.67,247.67,242.92,244.125,-2.52,-1.02%,37218076
"2023-09-26 08:00",242.98,249.55,241.6601,246.645,-0.345,-0.14%,47174469
"2023-09-25 12:00",246.0799,247.1,244.02,246.99,0.94,+0.38%,36446274
"2023-09-25 08:00",243.38,246.53,238.31,246.05,1.17,+0.48%,48743797
"2023-09-22 12:00",254.18,254.66,244.48,244.88,-9.295,-3.66%,59267364
"2023-09-22 08:00",257.4,257.7888,252.13,254.175,-1.525,-0.60%,45856992
"2023-09-21 12:00",257.78,260.86,255.22,255.7,-2.08,-0.81%,47928262
"2023-09-21 08:00",257.85,260.3899,254.21,257.78,-4.81,-1.83%,48705087
"2023-09-20 12:00",267.07,273.93,262.4606,262.59,-4.492,-1.68%,65424847
"2023-09-20 08:00",267.04,268.6,265.3101,267.082,0.582,+0.22%,35954719
"2023-09-19 12:00",264.91,267.5,263.5601,266.5,1.575,+0.59%,40591805
"2023-09-19 08:00",264.35,267.85,261.2,264.925,-0.355,-0.13%,45621551
"2023-09-18 12:00",267.205,268.43,264.71,265.28,-1.92,-0.72%,35049696
"2023-09-18 08:00",271.16,271.44,263.7601,267.2,-7.19,-2.62%,45909230
"2023-09-15 12:00",275.1912,278,271,274.39,-0.7901,-0.29%,55137653
"2023-09-15 08:00",277.55,278.98,271.65,275.1801,-0.8599,-0.31%,54553196
"2023-09-14 12:00",274.92,276.7094,274.03,276.04,1.1209,+0.41%,36870476
"2023-09-14 08:00",271.32,276.18,270.42,274.9191,3.6191,+1.33%,50692056
"2023-09-13 12:00",271.24,273.68,270,271.3,0.075,+0.03%,39210442
"2023-09-13 08:00",270.07,274.98,268.1,271.225,3.745,+1.40%,51409435
"2023-09-12 12:00",271.21,272.224,266.6,267.48,-3.74,-1.38%,48098250
"2023-09-12 08:00",270.76,278.39,268.33,271.22,-2.36,-0.86%,63916164
"2023-09-11 12:00",271.57,274.85,270.35,273.58,2.03,+0.75%,62024617
"2023-09-11 08:00",264.27,272.5299,260.61,271.55,23.05,+9.28%,74980590
"2023-09-08 12:00",253.09,253.14,246.67,248.5,-4.5899,-1.81%,51405035
"2023-09-08 08:00",251.22,256.52,250.31,253.0899,1.5999,+0.64%,48928555
"2023-09-07 12:00",247.19,252.81,246.83,251.49,4.29,+1.74%,45900144
"2023-09-07 08:00",245.07,248.7,243.265,247.2,-4.72,-1.87%,48431044
"2023-09-06 12:00",248.629,252.44,247.41,251.92,3.2918,+1.32%,45154352
"2023-09-06 08:00",255.135,255.39,245.06,248.6282,-7.8618,-3.07%,53557481
"2023-09-05 12:00",252.76,258,252.61,256.49,3.7499,+1.48%,51005335
"2023-09-05 08:00",245,253.99,244.86,252.7401,7.7301,+3.16%,56474916
"2023-09-01 12:00",246.27,247.99,242.01,245.01,-1.295,-0.53%,53473903
"2023-09-01 08:00",257.26,259.0794,245.57,246.305,-11.775,-4.56%,53857514
"2023-08-31 12:00",259.7,261.18,255.65,258.08,-1.6,-0.62%,42083120
