symbol,timeframe,lookback,threshold,atr_mult,trend_filter,session_window,trades,win_rate,expectancy,total_R
QQQ,15m,48,0.025,2.0,on,all_hours,100,52.0,0.04,4.0
QQQ,15m,48,0.025,2.0,on,us_market_hours,60,55.0,0.131,7.86
QQQ,15m,48,0.025,2.5,off,all_hours,119,47.1,-0.059,-7.02
QQQ,15m,48,0.025,2.5,off,us_market_hours,81,46.9,-0.045,-3.64
QQQ,15m,48,0.025,2.5,on,all_hours,90,53.3,0.067,6.03
QQQ,15m,48,0.025,2.5,on,us_market_hours,55,49.1,0.033,1.82
QQQ,15m,48,0.025,3.0,off,all_hours,102,51.0,0.02,2.04
QQQ,15m,48,0.025,3.0,off,us_market_hours,80,48.8,-0.006,-0.48
QQQ,15m,48,0.025,3.0,on,all_hours,81,56.8,0.136,11.02
QQQ,15m,48,0.025,3.0,on,us_market_hours,55,50.9,0.08,4.4
QQQ,15m,48,0.025,3.5,off,all_hours,100,48.0,-0.04,-4.0
QQQ,15m,48,0.025,3.5,off,us_market_hours,80,45.0,-0.057,-4.56
QQQ,15m,48,0.025,3.5,on,all_hours,79,51.9,0.038,3.0
QQQ,15m,48,0.025,3.5,on,us_market_hours,55,45.5,0.017,0.94
QQQ,15m,48,0.03,2.0,off,all_hours,80,38.8,-0.225,-18.0
QQQ,15m,48,0.03,2.0,off,us_market_hours,53,47.2,-0.091,-4.82
QQQ,15m,48,0.03,2.0,on,all_hours,62,43.5,-0.129,-8.0
QQQ,15m,48,0.03,2.0,on,us_market_hours,38,44.7,-0.102,-3.88
QQQ,15m,48,0.03,2.5,off,all_hours,77,44.2,-0.117,-9.01
QQQ,15m,48,0.03,2.5,off,us_market_hours,52,50.0,-0.069,-3.59
QQQ,15m,48,0.03,2.5,on,all_hours,61,45.9,-0.082,-5.0
QQQ,15m,48,0.03,2.5,on,us_market_hours,38,47.4,-0.074,-2.81
QQQ,15m,48,0.03,3.0,off,all_hours,64,50.0,0.0,0.0
QQQ,15m,48,0.03,3.0,off,us_market_hours,48,56.2,0.06,2.88
QQQ,15m,48,0.03,3.0,on,all_hours,53,54.7,0.094,4.98
QQQ,15m,48,0.03,3.0,on,us_market_hours,35,57.1,0.104,3.64
QQQ,15m,48,0.03,3.5,off,all_hours,61,45.9,-0.082,-5.0
QQQ,15m,48,0.03,3.5,off,us_market_hours,47,51.1,-0.04,-1.88
QQQ,15m,48,0.03,3.5,on,all_hours,52,53.8,0.077,4.0
QQQ,15m,48,0.03,3.5,on,us_market_hours,35,51.4,0.003,0.1
QQQ,1h,12,0.01,2.0,off,all_hours,246,48.4,-0.033,-8.12
QQQ,1h,12,0.01,2.0,off,us_market_hours,181,51.9,0.025,4.53
QQQ,1h,12,0.01,2.0,on,all_hours,126,47.6,-0.048,-6.05
QQQ,1h,12,0.01,2.0,on,us_market_hours,77,50.6,-0.012,-0.92
QQQ,1h,12,0.01,2.5,off,all_hours,200,49.5,-0.01,-2.0
QQQ,1h,12,0.01,2.5,off,us_market_hours,181,50.8,0.005,0.9
QQQ,1h,12,0.01,2.5,on,all_hours,110,51.8,0.036,3.96
QQQ,1h,12,0.01,2.5,on,us_market_hours,77,50.6,0.0,0.0
QQQ,1h,12,0.01,3.0,off,all_hours,148,47.3,-0.054,-7.99
QQQ,1h,12,0.01,3.0,off,us_market_hours,181,50.8,0.009,1.63
QQQ,1h,12,0.01,3.0,on,all_hours,97,49.5,-0.01,-0.97
QQQ,1h,12,0.01,3.0,on,us_market_hours,77,50.6,0.021,1.62
QQQ,1h,12,0.01,3.5,off,all_hours,122,56.6,0.131,15.98
QQQ,1h,12,0.01,3.5,off,us_market_hours,181,50.8,0.008,1.45
QQQ,1h,12,0.01,3.5,on,all_hours,88,52.3,0.045,3.96
QQQ,1h,12,0.01,3.5,on,us_market_hours,77,50.6,0.015,1.16
QQQ,1h,12,0.015,2.0,off,all_hours,167,58.7,0.174,29.06
QQQ,1h,12,0.015,2.0,off,us_market_hours,117,53.8,-0.014,-1.64
QQQ,1h,12,0.015,2.0,on,all_hours,74,60.8,0.216,15.98
QQQ,1h,12,0.015,2.0,on,us_market_hours,48,47.9,0.016,0.77
QQQ,1h,12,0.015,2.5,off,all_hours,148,52.7,0.054,7.99
QQQ,1h,12,0.015,2.5,off,us_market_hours,116,54.3,-0.015,-1.74
QQQ,1h,12,0.015,2.5,on,all_hours,70,51.4,0.029,2.03
QQQ,1h,12,0.015,2.5,on,us_market_hours,47,48.9,0.019,0.89
QQQ,1h,12,0.015,3.0,off,all_hours,115,49.6,-0.009,-1.03
QQQ,1h,12,0.015,3.0,off,us_market_hours,116,54.3,-0.009,-1.04
QQQ,1h,12,0.015,3.0,on,all_hours,63,47.6,-0.048,-3.02
QQQ,1h,12,0.015,3.0,on,us_market_hours,47,48.9,0.018,0.85
QQQ,1h,12,0.015,3.5,off,all_hours,102,48.0,-0.039,-3.98
QQQ,1h,12,0.015,3.5,off,us_market_hours,116,54.3,-0.007,-0.81
QQQ,1h,12,0.015,3.5,on,all_hours,54,55.6,0.111,5.99
QQQ,1h,12,0.015,3.5,on,us_market_hours,47,48.9,0.018,0.85
QQQ,1h,12,0.02,2.0,off,all_hours,111,51.4,0.027,3.0
QQQ,1h,12,0.02,2.0,off,us_market_hours,76,50.0,-0.061,-4.64
QQQ,1h,12,0.02,2.0,on,all_hours,47,59.6,0.191,8.98
QQQ,1h,12,0.02,2.0,on,us_market_hours,30,53.3,-0.081,-2.43
QQQ,1h,12,0.02,2.5,off,all_hours,99,56.6,0.131,12.97
QQQ,1h,12,0.02,2.5,off,us_market_hours,76,50.0,-0.048,-3.65
QQQ,1h,12,0.02,2.5,on,all_hours,43,53.5,0.07,3.01
QQQ,1h,12,0.02,2.5,on,us_market_hours,30,53.3,-0.061,-1.83
QQQ,1h,12,0.02,3.0,off,all_hours,82,48.8,-0.024,-1.97
QQQ,1h,12,0.02,3.0,off,us_market_hours,76,50.0,-0.045,-3.42
QQQ,1h,12,0.02,3.0,on,all_hours,41,51.2,0.024,0.98
QQQ,1h,12,0.02,3.0,on,us_market_hours,30,53.3,-0.054,-1.62
QQQ,1h,12,0.02,3.5,off,all_hours,78,53.8,0.077,6.01
QQQ,1h,12,0.02,3.5,off,us_market_hours,76,50.0,-0.041,-3.12
QQQ,1h,12,0.02,3.5,on,all_hours,40,50.0,0.0,0.0
QQQ,1h,12,0.02,3.5,on,us_market_hours,30,53.3,-0.044,-1.32
QQQ,1h,12,0.025,2.0,off,all_hours,69,53.6,0.072,4.97
QQQ,1h,12,0.025,2.0,off,us_market_hours,41,53.7,0.003,0.12
QQQ,1h,12,0.025,2.0,on,all_hours,33,48.5,-0.03,-0.99
QQQ,1h,12,0.025,2.0,on,us_market_hours,15,33.3,-0.061,-0.92
QQQ,1h,12,0.025,2.5,off,all_hours,62,54.8,0.097,6.01
QQQ,1h,12,0.025,2.5,off,us_market_hours,41,53.7,0.021,0.86
QQQ,1h,12,0.025,2.5,on,all_hours,31,48.4,-0.032,-0.99
QQQ,1h,12,0.025,2.5,on,us_market_hours,15,33.3,0.016,0.24
QQQ,1h,12,0.025,3.0,off,all_hours,54,48.1,-0.037,-2.0
QQQ,1h,12,0.025,3.0,off,us_market_hours,41,53.7,0.012,0.49
