symbol,timeframe,lookback,threshold,atr_mult,trend_filter,session_window,trades,win_rate,expectancy,total_R
ES,4h,12,0.02,3.5,off,all_hours,66,51.5,0.03,1.98
ES,4h,12,0.02,3.5,on,all_hours,46,54.3,0.087,4.0
ES,4h,12,0.025,2.0,off,all_hours,41,43.9,-0.122,-5.0
ES,4h,12,0.025,2.0,on,all_hours,28,53.6,0.071,1.99
ES,4h,12,0.025,2.5,off,all_hours,39,56.4,0.128,4.99
ES,4h,12,0.025,2.5,on,all_hours,27,70.4,0.407,10.99
ES,4h,12,0.025,3.0,off,all_hours,35,62.9,0.257,9.0
ES,4h,12,0.025,3.0,on,all_hours,26,69.2,0.385,10.01
ES,4h,12,0.025,3.5,off,all_hours,33,66.7,0.333,10.99
ES,4h,12,0.025,3.5,on,all_hours,23,73.9,0.478,10.99
ES,4h,12,0.03,2.0,off,all_hours,22,59.1,0.182,4.0
ES,4h,12,0.03,2.0,on,all_hours,12,66.7,0.333,4.0
ES,4h,12,0.03,2.5,off,all_hours,21,61.9,0.238,5.0
ES,4h,12,0.03,2.5,on,all_hours,12,66.7,0.333,4.0
ES,4h,12,0.03,3.0,off,all_hours,21,61.9,0.238,5.0
ES,4h,12,0.03,3.0,on,all_hours,12,66.7,0.333,4.0
ES,4h,12,0.03,3.5,off,all_hours,20,60.0,0.2,4.0
ES,4h,12,0.03,3.5,on,all_hours,12,66.7,0.333,4.0
ES,4h,20,0.01,2.0,off,all_hours,195,55.4,0.108,21.06
ES,4h,20,0.01,2.0,on,all_hours,120,57.5,0.15,18.0
ES,4h,20,0.01,2.5,off,all_hours,160,53.8,0.075,12.0
ES,4h,20,0.01,2.5,on,all_hours,105,58.1,0.162,17.01
ES,4h,20,0.01,3.0,off,all_hours,131,56.5,0.13,17.03
ES,4h,20,0.01,3.0,on,all_hours,93,59.1,0.183,17.02
ES,4h,20,0.01,3.5,off,all_hours,111,50.5,0.009,1.0
ES,4h,20,0.01,3.5,on,all_hours,84,53.6,0.071,5.96
ES,4h,20,0.015,2.0,off,all_hours,160,53.8,0.075,12.0
ES,4h,20,0.015,2.0,on,all_hours,109,53.2,0.064,6.98
ES,4h,20,0.015,2.5,off,all_hours,137,49.6,-0.007,-0.96
ES,4h,20,0.015,2.5,on,all_hours,98,53.1,0.061,5.98
ES,4h,20,0.015,3.0,off,all_hours,116,48.3,-0.034,-3.94
ES,4h,20,0.015,3.0,on,all_hours,90,53.3,0.067,6.03
ES,4h,20,0.015,3.5,off,all_hours,94,50.0,0.0,0.0
ES,4h,20,0.015,3.5,on,all_hours,78,53.8,0.077,6.01
ES,4h,20,0.02,2.0,off,all_hours,108,52.8,0.056,6.05
ES,4h,20,0.02,2.0,on,all_hours,75,53.3,0.067,5.03
ES,4h,20,0.02,2.5,off,all_hours,96,50.0,0.0,0.0
ES,4h,20,0.02,2.5,on,all_hours,73,54.8,0.096,7.01
ES,4h,20,0.02,3.0,off,all_hours,85,45.9,-0.082,-6.97
ES,4h,20,0.02,3.0,on,all_hours,67,50.7,0.015,1.0
ES,4h,20,0.02,3.5,off,all_hours,75,52.0,0.04,3.0
ES,4h,20,0.02,3.5,on,all_hours,58,58.6,0.172,9.98
ES,4h,20,0.025,2.0,off,all_hours,77,53.2,0.065,5.0
ES,4h,20,0.025,2.0,on,all_hours,62,51.6,0.032,1.98
ES,4h,20,0.025,2.5,off,all_hours,66,50.0,0.0,0.0
ES,4h,20,0.025,2.5,on,all_hours,56,50.0,0.0,0.0
ES,4h,20,0.025,3.0,off,all_hours,59,47.5,-0.051,-3.01
ES,4h,20,0.025,3.0,on,all_hours,52,53.8,0.077,4.0
ES,4h,20,0.025,3.5,off,all_hours,52,59.6,0.192,9.98
ES,4h,20,0.025,3.5,on,all_hours,47,61.7,0.234,11.0
ES,4h,20,0.03,2.0,off,all_hours,46,56.5,0.13,5.98
ES,4h,20,0.03,2.0,on,all_hours,36,55.6,0.111,4.0
ES,4h,20,0.03,2.5,off,all_hours,42,54.8,0.095,3.99
ES,4h,20,0.03,2.5,on,all_hours,35,57.1,0.143,5.0
ES,4h,20,0.03,3.0,off,all_hours,37,59.5,0.189,6.99
ES,4h,20,0.03,3.0,on,all_hours,33,57.6,0.152,5.02
ES,4h,20,0.03,3.5,off,all_hours,35,60.0,0.2,7.0
ES,4h,20,0.03,3.5,on,all_hours,31,61.3,0.226,7.01
ES,4h,32,0.01,2.0,off,all_hours,171,51.5,0.029,4.96
ES,4h,32,0.01,2.0,on,all_hours,118,54.2,0.085,10.03
ES,4h,32,0.01,2.5,off,all_hours,145,50.3,0.007,1.02
ES,4h,32,0.01,2.5,on,all_hours,105,53.3,0.067,7.04
ES,4h,32,0.01,3.0,off,all_hours,116,56.0,0.121,14.04
ES,4h,32,0.01,3.0,on,all_hours,91,56.0,0.121,11.01
ES,4h,32,0.01,3.5,off,all_hours,100,58.0,0.16,16.0
ES,4h,32,0.01,3.5,on,all_hours,80,55.0,0.1,8.0
ES,4h,32,0.015,2.0,off,all_hours,140,52.9,0.057,7.98
ES,4h,32,0.015,2.0,on,all_hours,99,54.5,0.091,9.01
ES,4h,32,0.015,2.5,off,all_hours,125,46.4,-0.072,-9.0
ES,4h,32,0.015,2.5,on,all_hours,95,48.4,-0.032,-3.04
ES,4h,32,0.015,3.0,off,all_hours,106,46.2,-0.075,-7.95
